SID,PDS_F1,PDS_F2,PDS_F3,PDS_F4,PDS_F5,PDS_F6,PDS_F9,PDS_F10,PDS_F7,PDS_F8,PBIP_1A,PBIP_1B,PBIP_2A,PBIP_2B,FSMI_1,FSMI_2,FSMI_3,FSMI_4,FSMI_4_5_TEXT,FSMI_5,FSMI_6,FSMI_6_4_TEXT,FSMI_7_37,FSMI_7_38,FSMI_7_39,FSMI_7_40,FSMI_7_41,FSMI_7_42,K_SRQ_9,K_SRQ_19,K_SRQ_23,K_SOIR_1,K_SOIR_2,K_SOIR_4,K_SOIR_5,K_SOIR_6,K_SOIR_7,K_SOIR_8,K_SOIR_9,K_SOIR_10,K_SOIR_11,K_SOIR_12
89,4,3,3,3,2,1,2014,12/5/18,15,15,3,4,3,4,4,,,,,,2,,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,
101,2,3,3,3,3,1,21-Jun-17,4-Jun-19,17,11,4,5,4,5,3,,,1,,4,2,,5,6,3,5,2,5,6,6,5,1,2,2,2,1,4,4,3,2,3,2
102,4,4,4,4,3,1,july 23rd 2017 (?),september 26th,18,12,4,5,4,5,2,,4,1,,5,1,,4,3,5,6,3,4,3,2,3,2,2,1,1,1,2,1,5,1,3,1
103,3,3,3,3,3,1,18-Jan,7-May,17,8,4,5,4,5,4,,,,,,2,,4,3,4,5,5,3,5,5,6,1,2,2,2,2,4,3,2,2,2,2
106,2,2,2,2,3,0,,,13,5,3,4,3,4,4,,,,,,2,,2,2,2,2,6,2,4,2,1,2,,,,,,,,,,
110,3,3,3,3,4,0,,,19,8,3,4,3,4,3,,,1,,5,2,,6,6,2,5,3,5,2,4,3,2,2,1,1,1,1,1,5,1,1,1
120,3,3,2,3,3,1,8/3/18,7/31/19,20,14,4,3,4,3,3,,,4,,4,2,,6,6,2,3,2,6,6,6,4,2,2,1,1,1,4,4,2,4,4,4
122,2,3,2,3,3,0,nope,nope,15,7,3,4,3,4,4,,,,,,2,,3,2,4,5,5,2,5,4,4,2,2,1,1,1,2,2,4,2,2,2
131,3,4,4,3,3,1,6/20/18,4/15/19,15,8,4,5,5,4,4,,,,,,2,,2,2,6,7,6,3,4,4,2,2,,,,,,,,,,
132,3,3,3,3,4,0,,,18,14,3,4,5,4,2,,2,1,,5,2,,6,6,1,3,2,6,7,6,6,1,2,2,2,2,3,3,4,4,5,3
138,4,4,3,4,1,1,july 28 2017,march 2 2019,23,24,5,4,5,4,3,,,3,,3,2,,7,7,6,6,1,6,,,,,,,,,,,,,,
140,3,4,3,3,3,1,"2016, November",february 19-ish,14,8,4,3,4,5,4,,,,,,2,,3,2,5,6,4,2,4,3,2,2,,,,,,,,,,
141,4,4,2,4,2,1,I forgot,3/11/19,19,11,4,3,4,3,4,,,,,,2,,2,2,5,5,6,3,2,2,1,2,,,,,,,,,,
164,2,3,2,3,3,1,April 12 2016,february 6 2019,15,12,3,4,4,5,1,1,3,1,,5,2,,5,5,4,3,3,3,6,5,4,2,,,,,,,,,,
167,3,3,3,3,4,1,15-Jul-18,6-Jul-19,20,9,4,5,4,5,3,,,4,,4,2,,5,5,3,5,3,4,5,5,4,2,2,1,1,1,1,1,5,1,2,1
176,4,4,4,3,3,1,idk exactly when but right before 7th grade,two days ago,18,12,5,5,5,5,4,,,,,,2,,4,3,4,4,3,3,3,3,3,1,2,1,1,1,3,1,4,1,1,1
179,3,4,4,3,2,1,march 31 2019,august 26 2019,16,12,4,5,5,4,4,,,,,,2,,6,6,4,3,1,5,5,1,4,2,2,1,1,1,2,1,5,1,2,2
180,4,4,4,4,2,1,"not sure, some time in the first half of 2016",June 17 2019,15,10,5,3,5,4,3,,,4,,6,4,genderfluid,1,6,5,6,5,5,6,4,4,1,2,1,3,3,5,1,2,1,1,1
186,3,3,3,3,4,1,march 24 2019,april 29 2019,19,13,4,3,5,4,2,,2,1,,5,2,,1,4,3,6,5,4,4,5,5,1,2,2,2,1,3,2,4,2,1,1
188,2,3,2,2,4,1,4/15/19,7/12/19,15,6,2,3,3,2,3,,,2,,6,4,non-binary ,2,4,4,6,4,4,4,1,4,2,2,1,1,1,3,1,5,1,2,1
200,4,4,2,3,2,1,11/22/18,7/18/19,17,8,4,5,5,4,3,,,1,,5,2,,5,6,2,7,2,6,2,1,1,1,2,1,2,1,,1,5,1,2,1
202,4,3,3,3,4,1,23-Dec-18,"ARP, 5, 2019",17,8,3,4,4,5,1,4,2,1,,5,2,,3,1,4,7,4,1,7,5,6,1,2,2,2,1,3,1,4,1,1,1
203,1,4,4,4,3,1,November 24 2019,November 23 2019,14,10,5,5,5,5,1,0,0,1,,4,2,,3,3,3,5,3,3,5,5,5,2,2,1,1,1,2,2,4,3,4,3
205,4,4,3,2,3,1,12/21/16,7/2/19,16,12,3,4,3,4,2,,7,4,,4,2,,3,3,3,5,4,4,5,5,6,1,3,3,3,2,5,5,1,1,3,2
207,1,3,4,3,5,0,,,14,11,4,5,4,3,3,,,1,,5,2,,3,5,2,3,5,5,5,5,4,2,2,1,1,1,2,1,4,1,2,1
210,3,3,2,2,4,0,,,18,10,3,4,3,4,4,,,,,,2,,5,3,3,5,3,2,3,3,3,2,,,,,,,,,,
220,3,3,3,3,2,1,"August 3rd, 2018","May 22nd, 2019",15,7,4,5,4,5,4,,,,,,2,,2,2,6,6,6,2,4,1,4,2,2,1,1,1,1,1,4,1,1,1
223,3,3,2,3,3,0,i have not had my period.,i have not had my period.,19,14,3,4,3,4,4,,,,,,2,,2,2,5,6,6,2,4,2,2,2,2,1,1,1,3,3,4,1,1,1
224,1,3,2,3,3,0,,,15,9,3,4,4,3,4,,,,,,2,,2,2,1,6,6,1,5,1,1,2,2,1,1,1,3,1,4,1,1,1
225,3,3,3,3,1,1,16-Jul,January 17 2020,16,9,4,5,4,5,1,2,3,1,,4,2,,5,2,2,5,3,2,5,4,4,1,2,2,2,1,3,2,4,2,2,2
238,4,3,3,2,4,0,none,none,18,10,3,4,4,5,2,,1,1,,5,2,,3,2,6,6,6,3,2,4,2,2,2,1,1,1,1,1,5,1,2,1
301,3,4,4,3,3,1,september 11 2019,september 11 2019,18,15,4,5,4,5,4,,,,,,2,,1,1,2,5,6,2,4,2,2,2,2,1,1,1,2,1,4,1,1,1
303,3,4,4,2,3,1,18-Jul,13-Aug,15,8,4,2,5,4,2,,7,1,,5,2,,6,7,1,4,2,6,7,7,7,1,2,3,3,1,3,2,3,4,4,1
