SID,correct_response,context,optimal_response,stim_gender,stim_chosen,reward_possible,,,,,mating,neutral,status,
3,37,neutral,39,f,20,1,,,,,,,,
3,39,mating,37,m,20,1,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,39,neutral,37,m,20,5,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,status,39,m,20,1,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,39,neutral,39,f,20,5,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,39,neutral,37,m,20,1,,,,,,,,
3,37,mating,39,f,20,1,,,,,,,,
3,37,neutral,39,f,20,5,,,,,,,,
3,39,status,39,m,20,5,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,39,neutral,39,f,20,5,,,,,,,,
3,39,neutral,39,f,20,5,,,,,,,,
3,37,neutral,39,f,20,1,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,39,neutral,37,m,20,5,,,,,,,,
3,37,mating,39,f,20,5,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,39,status,39,m,20,5,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,39,neutral,37,m,20,1,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,37,status,39,m,20,5,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,39,neutral,39,f,20,5,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,39,mating,37,m,20,5,,,,,,,,
3,39,neutral,37,m,20,1,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,39,mating,37,m,20,1,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,39,status,37,f,20,5,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,mating,39,f,20,5,,,,,,,,
3,39,neutral,37,m,20,1,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,37,neutral,39,f,20,5,,,,,,,,
3,39,status,39,m,20,5,,,,,,,,
3,39,status,39,m,20,5,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,39,mating,37,m,20,5,,,,,,,,
3,37,neutral,39,f,20,5,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,39,neutral,37,m,20,5,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,39,neutral,39,f,20,5,,,,,,,,
3,37,status,39,m,20,5,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,39,status,37,f,20,5,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,37,neutral,39,f,20,1,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,39,mating,37,m,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,39,status,39,m,20,5,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,37,status,39,m,20,5,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,37,status,39,m,20,5,,,,,,,,
3,39,neutral,37,m,20,5,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,37,neutral,39,f,20,5,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,39,mating,37,m,20,5,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,neutral,39,f,20,5,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,39,neutral,37,m,20,5,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,39,status,39,m,20,5,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,37,neutral,39,f,20,5,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,39,neutral,37,m,20,1,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,39,mating,37,m,20,1,,,,,,,,
3,39,status,37,f,20,1,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,39,mating,37,m,20,1,,,,,,,,
3,37,neutral,39,f,20,1,,,,,,,,
3,37,status,37,f,20,1,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,39,status,39,m,20,5,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,39,status,39,m,20,1,,,,,,,,
3,39,mating,39,f,20,5,,,,,,,,
3,39,neutral,39,f,20,5,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,39,status,39,m,20,5,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,39,mating,37,m,20,5,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,37,mating,39,f,20,1,,,,,,,,
3,39,neutral,37,m,20,1,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,37,mating,37,m,20,1,,,,,,,,
3,39,mating,39,f,20,1,,,,,,,,
3,37,neutral,37,m,20,5,,,,,,,,
3,37,neutral,37,m,20,1,,,,,,,,
3,37,status,37,f,20,5,,,,,,,,
3,37,mating,37,m,20,5,,,,,,,,
3,39,neutral,39,f,20,1,,,,,,,,
3,39,neutral,39,f,20,5,,,,,,,,
7,39,status,39,m,20,1,,,,,,,,
7,39,neutral,39,m,20,5,,,,,,,,
7,39,neutral,39,m,20,5,,,,,,,,
7,37,mating,37,m,20,5,,,,,,,,
7,37,status,39,m,20,1,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,37,neutral,39,m,20,1,,,,,,,,
7,37,neutral,39,m,20,5,,,,,,,,
7,37,mating,37,m,20,5,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,37,neutral,37,f,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,37,status,37,f,20,5,,,,,,,,
7,39,neutral,39,m,20,1,,,,,,,,
7,37,mating,39,f,20,1,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,39,neutral,39,m,20,1,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,37,status,37,f,20,1,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,39,neutral,39,m,20,5,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,39,neutral,39,m,20,1,,,,,,,,
7,39,neutral,39,m,20,1,,,,,,,,
7,37,neutral,39,m,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,37,mating,37,m,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,37,neutral,37,f,20,1,,,,,,,,
7,37,status,37,f,20,1,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,39,neutral,39,m,20,1,,,,,,,,
7,37,mating,37,m,20,1,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,39,status,39,m,20,1,,,,,,,,
7,37,mating,39,f,20,5,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,37,mating,37,m,20,5,,,,,,,,
7,39,status,39,m,20,1,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,37,status,39,m,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,37,mating,37,m,20,1,,,,,,,,
7,39,status,39,m,20,1,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,37,status,37,f,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,37,mating,37,m,20,1,,,,,,,,
7,37,status,37,f,20,1,,,,,,,,
7,39,neutral,39,m,20,5,,,,,,,,
7,39,neutral,39,m,20,1,,,,,,,,
7,37,mating,37,m,20,1,,,,,,,,
7,37,mating,37,m,20,1,,,,,,,,
7,39,neutral,39,m,20,1,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,37,neutral,39,m,20,5,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
7,39,mating,39,f,20,1,,,,,,,,
7,39,status,39,m,20,5,,,,,,,,
7,39,mating,39,f,20,5,,,,,,,,
17,37,neutral,37,m,20,5,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,status,37,m,20,5,,,,,,,,
17,37,mating,37,f,20,5,,,,,,,,
17,37,status,39,f,20,5,,,,,,,,
17,37,neutral,39,f,20,5,,,,,,,,
17,39,mating,39,m,20,5,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,39,mating,39,m,20,5,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,39,status,39,f,20,5,,,,,,,,
17,37,neutral,37,m,20,5,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,mating,37,f,20,5,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,37,neutral,37,m,20,1,,,,,,,,
17,39,mating,39,m,20,1,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,neutral,37,m,20,1,,,,,,,,
17,37,neutral,39,f,20,1,,,,,,,,
17,39,neutral,37,m,20,5,,,,,,,,
17,37,neutral,37,m,20,5,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,37,neutral,37,m,20,1,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,39,status,39,f,20,5,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,neutral,37,m,20,1,,,,,,,,
17,39,mating,39,m,20,1,,,,,,,,
17,37,status,37,m,20,5,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,status,37,m,20,5,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,37,status,39,f,20,1,,,,,,,,
17,37,neutral,37,m,20,5,,,,,,,,
17,39,status,39,f,20,5,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,37,neutral,37,m,20,1,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,37,neutral,37,m,20,5,,,,,,,,
17,39,status,39,f,20,5,,,,,,,,
17,39,status,37,m,20,5,,,,,,,,
17,37,status,37,m,20,5,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,status,37,m,20,1,,,,,,,,
17,37,mating,39,m,20,5,,,,,,,,
17,37,mating,39,m,20,5,,,,,,,,
17,39,mating,39,m,20,1,,,,,,,,
17,39,mating,39,m,20,5,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,37,status,37,m,20,5,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,39,status,39,f,20,5,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,37,status,39,f,20,5,,,,,,,,
17,39,neutral,37,m,20,5,,,,,,,,
17,37,neutral,37,m,20,1,,,,,,,,
17,37,mating,37,f,20,5,,,,,,,,
17,39,mating,39,m,20,1,,,,,,,,
17,37,status,39,f,20,5,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,39,mating,39,m,20,5,,,,,,,,
17,39,mating,39,m,20,5,,,,,,,,
17,39,mating,39,m,20,1,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,mating,39,m,20,5,,,,,,,,
17,39,mating,39,m,20,5,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,37,status,39,f,20,1,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,37,status,39,f,20,5,,,,,,,,
17,37,neutral,37,m,20,1,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,37,status,37,m,20,5,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
17,37,mating,37,f,20,1,,,,,,,,
17,39,status,39,f,20,5,,,,,,,,
17,39,status,39,f,20,1,,,,,,,,
17,39,status,37,m,20,5,,,,,,,,
17,37,status,39,f,20,1,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,37,mating,37,f,20,5,,,,,,,,
17,37,status,37,m,20,5,,,,,,,,
17,39,status,39,f,20,5,,,,,,,,
17,37,status,37,m,20,1,,,,,,,,
17,39,mating,39,m,20,1,,,,,,,,
17,39,status,39,f,20,5,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,37,status,37,m,20,5,,,,,,,,
17,37,mating,39,m,20,1,,,,,,,,
17,39,neutral,39,f,20,1,,,,,,,,
17,39,neutral,39,f,20,5,,,,,,,,
19,39,status,39,f,20,5,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,37,status,39,f,20,5,,,,,,,,
19,37,mating,39,m,20,5,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,39,mating,37,f,20,1,,,,,,,,
19,37,neutral,37,f,20,1,,,,,,,,
19,39,neutral,39,m,20,1,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,37,mating,37,f,20,1,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,39,status,39,f,20,5,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,37,neutral,37,f,20,5,,,,,,,,
19,39,status,37,m,20,1,,,,,,,,
19,39,neutral,39,m,20,1,,,,,,,,
19,37,mating,37,f,20,5,,,,,,,,
19,37,status,37,m,20,5,,,,,,,,
