SID,wave,age
TAG093,3,15.09863014
TAG094,1,11.26229508
TAG094,2,12.76438356
TAG094,3,14.2630137
TAG095,1,10.22191781
TAG095,2,11.61917808
TAG095,3,13.63661202
TAG098,1,11.60928962
TAG098,2,13.11506849
TAG098,3,14.84931507
TAG099,1,12.50546448
TAG099,2,14.1369863
TAG099,3,15.67213115
TAG100,1,11.23770492
TAG100,2,13.00547945
TAG100,3,14.69589041
TAG101,1,11.80273973
TAG101,2,13.41917808
TAG101,3,15.79452055
TAG102,1,11.80601093
TAG102,2,13.39681114
TAG102,3,15.04109589
TAG103,1,12.0109589
TAG103,2,13.58630137
TAG103,3,16.03013699
TAG104,1,11.29234973
TAG104,2,12.88767123
TAG104,3,14.36438356
TAG105,1,11.1557377
TAG105,2,12.68219178
TAG105,3,14.52034583
TAG106,1,10.05479452
TAG106,2,11.46027397
TAG106,3,13.71232877
TAG107,1,12.09041096
TAG107,2,13.73150685
TAG107,3,NA
TAG109,1,11.34699454
TAG109,2,NA
TAG109,3,NA
TAG110,1,10.07945205
TAG110,2,11.49041096
TAG110,3,13.83013699
TAG111,1,11.77322404
TAG111,2,13.47123288
TAG111,3,15.08196721
TAG112,1,11.63013699
TAG112,2,13.13424658
TAG112,3,14.6381316
TAG113,1,11.76986301
TAG113,2,13.23561644
TAG113,3,14.68219178
TAG114,1,11.51092896
TAG114,2,13.27671233
TAG114,3,NA
TAG116,1,10.88767123
TAG116,2,12.49041096
TAG116,3,14.47945205
TAG117,1,11.68032787
TAG117,2,13.2
TAG117,3,14.66027397
TAG119,1,12.72738229
TAG119,2,14.44383562
TAG119,3,15.95068493
TAG120,1,12.24931507
TAG120,2,13.84109589
TAG120,3,15.54644809
TAG122,1,11.10410959
TAG122,2,12.6109589
TAG122,3,14.28961749
TAG124,1,10.85479452
TAG124,2,12.28767123
TAG124,3,14.57260274
TAG125,1,10.52054795
TAG125,2,12.03287671
TAG125,3,NA
TAG127,1,10.57260274
TAG127,2,12.1260274
TAG127,3,14.23561644
TAG130,1,12.14480874
TAG130,2,13.69467026
TAG130,3,15.28493151
TAG131,1,11.91232877
TAG131,2,13.38356164
TAG131,3,14.90920728
TAG132,1,12.08480425
TAG132,2,13.6902837
TAG132,3,15.14754098
TAG137,1,11.21857923
TAG137,2,NA
TAG137,3,NA
TAG138,1,11.12295082
TAG138,2,12.66849315
TAG138,3,14.12054795
TAG140,1,12.56010929
TAG140,2,14.09589041
TAG140,3,15.51506849
TAG141,1,11.85245902
TAG141,2,13.4683659
TAG141,3,15.1420765
TAG143,1,11.94808743
TAG143,2,13.73009207
TAG143,3,15.70491803
TAG144,1,12.72404372
TAG144,2,14.24109589
TAG144,3,15.94262295
TAG145,1,12.09041096
TAG145,2,NA
TAG145,3,NA
TAG147,1,10.64383562
TAG147,2,12.24109589
TAG147,3,13.4863388
TAG149,1,12.28415301
TAG149,2,13.75068493
TAG149,3,15.39178082
TAG152,1,10.63013699
TAG152,2,12.19452055
TAG152,3,14.46174863
TAG155,1,12.20273973
TAG155,2,14.00547945
TAG155,3,15.95616438
TAG159,1,12.26229508
TAG159,2,13.9018714
TAG159,3,15.41917808
TAG160,1,12.30054645
TAG160,2,13.84730893
TAG160,3,15.33150685
TAG164,1,12.23770492
TAG164,2,13.68219178
TAG164,3,15.38082192
TAG165,1,10.66027397
TAG165,2,NA
TAG165,3,NA
TAG166,1,12.08767123
TAG166,2,13.53972603
TAG166,3,NA
TAG167,1,12.37704918
TAG167,2,13.92497193
TAG167,3,15.44808743
TAG169,1,12.30054645
TAG169,2,13.80433416
TAG169,3,15.21643836
TAG170,1,10.65753425
TAG170,2,NA
TAG170,3,NA
TAG173,1,11.97808219
TAG173,2,13.41917808
TAG173,3,15.63661202
TAG174,1,12.86718317
TAG174,2,14.85205479
TAG174,3,NA
TAG175,1,10.06027397
TAG175,2,11.94520548
TAG175,3,NA
TAG176,1,12.11506849
TAG176,2,13.55342466
TAG176,3,15.93150685
TAG177,1,10.32240437
TAG177,2,11.9369863
TAG177,3,13.36164384
TAG179,1,10.64657534
TAG179,2,12.14520548
TAG179,3,14.4630137
TAG180,1,12.99037353
TAG180,2,14.37534247
TAG180,3,16.6506475
TAG181,1,12.82583277
TAG181,2,14.45205479
TAG181,3,15.95342466
TAG186,1,12.97895801
TAG186,2,14.48767123
TAG186,3,16.63661202
TAG188,1,9.975342466
TAG188,2,11.54246575
TAG188,3,13.40273973
TAG190,1,11.61917808
TAG190,2,12.99726027
TAG190,3,15.21917808
TAG192,1,11.50684932
TAG192,2,13.02465753
TAG192,3,14.56682386
TAG194,1,11.49589041
TAG194,2,13.03561644
TAG194,3,14.5476383
TAG200,1,10.8630137
TAG200,2,12.3260274
TAG200,3,14.56438356
TAG202,1,11.74520548
TAG202,2,13.18356164
TAG202,3,15.48767123
TAG203,1,12.62465753
TAG203,2,14.13972603
TAG203,3,16.05205479
TAG205,1,12.65124635
TAG205,2,14.0630137
TAG205,3,16.20218579
TAG206,1,10.34246575
TAG206,2,11.89863014
TAG206,3,NA
TAG207,1,11.37534247
TAG207,2,12.83287671
TAG207,3,15.18630137
TAG208,1,11.96438356
TAG208,2,13.43561644
TAG208,3,15.49180328
TAG209,1,11.77260274
TAG209,2,13.25479452
TAG209,3,14.8105472
TAG210,1,11.74043716
TAG210,2,13.27671233
TAG210,3,14.75342466
TAG211,1,11.64931507
TAG211,2,13.16712329
TAG211,3,14.66260948
TAG215,1,10.43835616
TAG215,2,11.89041096
TAG215,3,14.06027397
TAG218,1,10.75068493
TAG218,2,12.26575342
TAG218,3,14.40547945
TAG220,1,10.46027397
TAG220,2,11.87945205
TAG220,3,14.23835616
TAG221,1,10.65205479
TAG221,2,12.11506849
TAG221,3,14.38082192
TAG223,1,10.01917808
TAG223,2,11.51506849
TAG223,3,13.71780822
TAG224,1,10.02465753
TAG224,2,11.48767123
TAG224,3,13.9369863
TAG225,1,10.43561644
TAG225,2,11.93150685
TAG225,3,14.02465753
TAG232,1,10.51780822
TAG232,2,12.05205479
TAG232,3,13.92876712
TAG233,1,10.77260274
TAG233,2,NA
TAG233,3,NA
TAG238,1,11.18630137
TAG238,2,12.67945205
TAG238,3,14.59178082
TAG240,1,10.28219178
TAG240,2,NA
TAG240,3,NA
TAG243,1,10.72876712
TAG243,2,12.23013699
TAG243,3,14.26575342
TAG244,1,10.4739726
TAG244,2,12.22191781
TAG244,3,14.08219178
TAG247,1,10.69589041
TAG247,2,12.2
TAG247,3,14.20821918
TAG250,1,10.96986301
TAG250,2,12.39178082
TAG250,3,14.31506849
TAG252,1,10.72054795
TAG252,2,12.36986301
TAG252,3,14.34794521
TAG253,1,10.4739726
TAG253,2,11.93150685
TAG253,3,13.84931507
TAG257,1,11.38082192
TAG257,2,12.97808219
TAG257,3,14.90410959
TAG261,1,10.58630137
TAG261,2,12.09589041
TAG261,3,13.95890411
TAG266,1,10.65753425
TAG266,2,12.20547945
TAG266,3,NA
