"","tagid","FSMI_7_37","FSMI_7_38","FSMI_7_39","FSMI_7_40","FSMI_7_41","FSMI_7_42","K_SRQ_9","K_SRQ_19","K_SRQ_23","mate_seeking","sex_rel"
"84","TAG112",5,6,3,5,3,5,6,6,4,4.5,5.33333333333333
"85","TAG113",3,3,3,3,3,3,6,4,4,3,4.66666666666667
"86","TAG116",2,2,5,5,5,2,4,4,4,3.5,4
"87","TAG117",5,4,2,2,2,2,5,5,4,2.83333333333333,4.66666666666667
"88","TAG119",5,3,5,6,3,2,3,2,1,4,2
"89","TAG120",7,7,1,1,1,6,7,7,7,3.83333333333333,7
"90","TAG122",2,2,5,5,5,2,5,5,4,3.5,4.66666666666667
"91","TAG124",1,2,7,7,7,1,1,2,1,4.16666666666667,1.33333333333333
"92","TAG130",3,2,4,6,3,2,4,4,4,3.33333333333333,4
"93","TAG132",7,6,6,5,2,6,7,6,7,5.33333333333333,6.66666666666667
"94","TAG138",5,5,3,5,5,5,4,5,4,4.66666666666667,4.33333333333333
"95","TAG140",4,5,3,5,3,5,4,4,4,4.16666666666667,4
"96","TAG144",5,1,2,6,2,2,2,6,6,3,4.66666666666667
"97","TAG147",4,2,4,5,5,4,6,6,4,4,5.33333333333333
"98","TAG149",2,3,3,6,6,2,6,5,6,3.66666666666667,5.66666666666667
"99","TAG152",2,1,7,6,6,2,5,4,3,4,4
"100","TAG155",2,4,4,5,4,4,5,5,4,3.83333333333333,4.66666666666667
"101","TAG159",4,4,4,4,4,4,6,5,5,4,5.33333333333333
"102","TAG160",2,5,2,6,3,2,7,6,7,3.33333333333333,6.66666666666667
"103","TAG164",5,5,4,6,3,5,5,6,7,4.66666666666667,6
"104","TAG167",5,6,2,2,2,6,6,4,4,3.83333333333333,4.66666666666667
"105","TAG169",3,6,2,3,3,6,6,6,7,3.83333333333333,6.33333333333333
"106","TAG173",3,5,4,5,3,4,6,6,1,4,4.33333333333333
"107","TAG176",4,1,5,6,5,1,2,5,3,3.66666666666667,3.33333333333333
"108","TAG179",6,6,1,2,2,6,7,5,6,3.83333333333333,6
"109","TAG180",1,1,6,6,7,1,2,3,2,3.66666666666667,2.33333333333333
"110","TAG181",6,6,2,4,2,6,5,5,6,4.33333333333333,5.33333333333333
"111","TAG186",5,5,3,5,3,4,4,2,4,4.16666666666667,3.33333333333333
"112","TAG190",1,1,1,7,1,1,6,7,5,2,6
"113","TAG192",3,2,2,2,6,4,5,5,5,3.16666666666667,5
"114","TAG200",1,1,7,7,7,1,1,1,1,4,1
"115","TAG202",5,5,3,3,2,4,6,6,7,3.66666666666667,6.33333333333333
"116","TAG203",5,2,6,6,3,2,5,6,6,4,5.66666666666667
"117","TAG205",3,3,5,3,5,2,3,4,4,3.5,3.66666666666667
